shift_id,employee_id,employ_name,shift_time ,shift_date,request_status,swap_with ,reason ,Level 
6067257416,9295200241,Marney Snasel,evening,10/29/2022,Completed,Rosita Gahan,Late shift at current job,2
6829788722,0685029921,Sydel Tetsall,evening,11/2/2022,Declined,Olvan Atlay,Religious observance,3
6724240972,3175370470,Clive Girvan,morning,5/21/2023,Processing,Guglielmo Meehan,Unexpected car breakdown,3
1837347484,3428499352,Faydra Louw,evening,2/11/2023,Declined,Tarrance Woolham,Family celebration,1
8825050356,5166601963,Phillipp Ronaghan,morning,5/28/2023,Pending,Sherye Myhan,Important meeting,3
3300157064,5247686497,Melisent Suttaby,morning,10/18/2022,Processing,Lola Deeble,Family celebration,1
0113778317,6303723306,Tracey Pughsley,morning,8/19/2023,Declined,Bruno Tague,Unforeseen medical appointment,1
8495419181,1857281012,Valeria Cotte,evening,5/22/2023,Declined,Alli Rimington,Emergency home repair,2
5785192268,6116436595,Cher Juza,morning,7/24/2023,Declined,Foss Vanni,Deadline for a project,1
0919603440,1527130967,Charity Glasebrook,evening,11/9/2022,Processing,Valaree Jerrolt,Volunteer commitment,3
9913654246,1070389269,Diannne Crab,evening,7/8/2023,Declined,Rochester Collum,Personal appointment,2
2490430262,9080192937,Rebecka Tirte,morning,4/27/2023,Processing,Nanice Scneider,Traffic congestion,3
9655444082,2361089696,Aura Augustine,morning,4/26/2023,Approved,Waneta McRae,Scheduling error,2
7784738471,5364078698,Yevette Boutflour,evening,7/30/2023,Pending,Lavina McAllister,Family emergency,3
1567090893,9060685172,Benni Clerk,morning,10/30/2022,Processing,Olin Petlyura,Attending a special event,1
4901570455,8992883889,Rozina Adriaan,evening,6/26/2023,Processing,Aleece Hammerberger,Traffic congestion,2
6598131545,6606746116,Jessika Bienvenu,evening,11/15/2022,Approved,Angelia Halegarth,Volunteer commitment,1
7492836201,7584310257,Ermentrude Oulet,morning,9/1/2022,Pending,Almeda McCulley,Emergency home repair,3
6711114973,9365473497,Evy Eggleton,evening,9/19/2022,Declined,Vivyanne O'Bradane,Family emergency,1
6199112067,1241651388,Roberta Kuhlen,evening,9/6/2022,Declined,Vachel Rivers,Illness,3
3942293706,7927202464,Eldin Borrel,evening,1/1/2023,Approved,Tommie Strotone,Transportation issues,1
5989732201,8471357852,Burgess Huge,evening,6/20/2023,Approved,Madelina Craw,Personal appointment,3
6707702777,9726686393,Jenna Trevon,morning,1/23/2023,Approved,Dannie Bone,Scheduling error,1
4294521880,7180636851,Maryellen Abbys,morning,2/5/2023,Pending,Dion McBean,Transportation issues,3
9961398297,6372417367,Ina Soar,morning,12/10/2022,Pending,Reinhard Skowcraft,Deadline for a project,3
2762469201,1217369821,Scarlett Tidbury,morning,1/19/2023,Declined,Evania Skep,Vacation plans,1
0657979015,2402347171,Tiler Duncan,evening,1/4/2023,Completed,Adelaida Olyunin,Illness,1
0512276064,8526695649,Giulio Jeyness,evening,4/6/2023,Completed,Lishe Barltrop,Scheduling error,2
1286526787,6235095376,Marchall Galtone,morning,6/10/2023,Processing,Hendrik Seeney,Late shift at current job,2
7220474229,5658846587,Brennan Blaszczyk,evening,8/24/2023,Processing,Ermin Estevez,Overtime at another job,2
4605751572,4384068824,Barb Hockell,evening,12/24/2022,Pending,Jolie Pontefract,Important meeting,2
2398938433,4944030169,Wilmer Oxbe,evening,1/23/2023,Processing,Bari Congreave,Important meeting,2
1250750512,8652449716,Cleopatra Pennock,morning,12/20/2022,Completed,Grange Melley,Vacation plans,2
2745694766,2454394081,Rubin Mardoll,evening,11/19/2022,Declined,Hasty Ayrs,Illness,2
3143907916,5129064585,Glenda Sanpher,evening,3/23/2023,Declined,Kit Saffran,Doctor's orders,1
3587479348,1721594949,Rivi Blair,morning,7/17/2023,Approved,Merralee Probbin,Traffic congestion,3
7913167033,9257572951,Yolanthe Canadas,morning,12/17/2022,Approved,Chanda Eary,Scheduling error,2
5918462406,0427053773,Chaddie Makepeace,morning,5/30/2023,Completed,Lewes Ricco,Religious observance,2
3780509520,6044409376,Collette Alejandri,morning,6/14/2023,Completed,Annetta Trinbey,Vacation plans,1
9751820723,9105897599,Elaine Hartropp,morning,12/24/2022,Completed,Jessica Latore,Vacation plans,2
4918941834,6624232668,Nonnah Meigh,evening,5/29/2023,Declined,Giselbert Lowis,Celebratory occasion,2
5819926358,9811958432,Helenelizabeth MacRonald,evening,1/18/2023,Processing,Krista Lamburne,Family celebration,3
3018694309,7996834687,Alane Hacker,evening,4/10/2023,Pending,Melesa Elsmor,Last-minute travel,3
1317770536,6216792385,Kandy Malarkey,morning,12/5/2022,Pending,Jolyn Rieme,Volunteer commitment,3
