shift_id,employee_id,employee_name,shift_date,start_time,end_time,duration,request_status,swap_with,reason
0527439304,0427701538,Antoni Castelijn,2/17/2022,1:18 PM,12:35 PM,10.07,rejected,Waylin Goosey,Deadline for a project
2564017673,5787495462,Trisha Spridgen,10/7/2022,4:39 PM,2:36 AM,7.66,approved,Say McGriffin,Religious observance
0411626272,4838883633,Casi Gother,8/10/2022,2:49 AM,12:20 PM,1.18,rejected,Marji Biggin,Family emergency
2106123841,9097102634,Rainer Werny,6/1/2022,4:57 AM,9:51 PM,7.77,rejected,Bev Sloey,Overtime at another job
8426413978,9980748419,Lorettalorna Petz,7/18/2022,4:29 AM,8:59 PM,9.64,pending,Cherry Brockhurst,Celebratory occasion
3328792597,6403946072,Si Suche,5/11/2022,9:14 AM,11:23 PM,9.3,pending,Peadar Kenvin,Celebratory occasion
5385754846,0491428758,Kimmie Beeson,10/1/2022,9:03 AM,4:16 PM,8.05,pending,Claudianus Gouldthorp,Childcare responsibilities
9324273698,1159804141,Garey Ebdon,6/9/2022,11:11 PM,10:49 PM,11.54,approved,Nelli Cosgrive,Attending a special event
1706747802,5970154318,Haleigh Clouston,10/5/2022,1:03 PM,10:07 AM,11.84,pending,Estrellita Giovanazzi,Doctor's orders
8213381254,8306256999,Elinor Costelloe,2/25/2022,7:54 AM,2:21 PM,8.15,approved,Willem Furness,Deadline for a project
4066125972,5544985693,Zebulen Goodbar,9/13/2022,11:17 AM,10:14 AM,10.69,pending,Guillemette Lathan,Emergency home repair
4881098721,8448598156,Melodie Cundey,2/19/2022,8:10 AM,12:14 AM,7.61,pending,Martie Simonelli,Shift conflicts with another job
9161843776,3437445103,Gino McCroary,10/12/2022,10:25 AM,1:19 AM,7.96,rejected,Bartlett Petrelli,Vacation plans
3496383437,6004605085,Rustin Raisher,7/2/2022,7:20 PM,2:01 PM,9.71,approved,Thom Baverstock,Shift conflicts with another job
8009626236,5041353018,Woody Bulfoy,12/10/2022,6:07 AM,11:26 PM,1.47,rejected,Melisse Dory,Traffic congestion
6511563782,0989356329,Cathrin Camelia,7/22/2022,4:41 AM,9:41 PM,6.35,pending,Andee Utton,Traffic congestion
4859986954,7561926936,Letisha Strowan,9/19/2022,6:54 PM,1:01 AM,5.01,approved,Allistir Moehler,Vacation plans
8392211561,4588004409,Domingo Hancox,11/19/2022,7:14 AM,2:09 AM,2.0,approved,Georges Overel,Unforeseen medical appointment
7057940092,9472410472,Shelley Carman,4/2/2022,1:15 PM,10:25 AM,4.3,pending,Laurella Checkley,Last-minute travel
3099067466,5021444190,Magdalena Schafer,6/29/2022,4:17 PM,10:26 AM,4.04,rejected,Peggie Renzini,Doctor's orders
1815392924,8102521317,Thorstein Skirvin,2/11/2022,12:02 PM,8:23 PM,10.93,rejected,Dyna Hapke,Childcare responsibilities
9975596649,5184876634,Reube MacElane,2/16/2022,12:46 AM,10:44 AM,6.92,rejected,Maddalena Voaden,Traffic congestion
6890074270,4318714144,Emmerich Filyukov,9/6/2022,3:15 PM,4:53 AM,3.5,rejected,Mylo Parnell,Last-minute travel
